Date,Price,Open,High,Low,Vol
23-08-2022,459.03,447.62,460.68,446.22,17.78
24-08-2022,461.77,457.59,463.47,456.29,12.21
25-08-2022,457.79,464.57,467.36,455.99,11.26
26-08-2022,463.62,463.57,469,462.52,11.25
29-08-2022,451.95,449.61,455.49,448.77,11.65
30-08-2022,469.65,457.24,470.95,455.69,14.42
01-09-2022,465.46,461.08,472.94,460.73,13.39
02-09-2022,460.33,469.4,470.35,458.73,10.81
05-09-2022,457.59,458.34,462.52,455.59,9.38
06-09-2022,456.34,461.28,462.27,455.2,9.81
07-09-2022,444.48,451.81,455.1,442.29,20.76
08-09-2022,440.84,451.06,451.16,438.65,19.34
09-09-2022,444.53,446.12,448.27,439.24,14.29
12-09-2022,449.61,446.32,451.61,445.63,8.96
13-09-2022,455.39,452.9,457.54,452.15,10.66
14-09-2022,448.82,446.22,453.3,445.63,10.36
15-09-2022,445.87,451.01,454.45,444.68,10.36
16-09-2022,431.17,444.63,445.03,427.78,20.99
19-09-2022,424.14,430.17,430.27,422.75,15.24
20-09-2022,432.91,429.27,441.99,429.27,17.56
21-09-2022,426.33,432.61,434.66,424.19,10.83
22-09-2022,430.87,423.69,433.26,421.25,13.6
23-09-2022,421.8,430.57,430.57,419.26,13.44
26-09-2022,396.28,414.72,416.61,391.94,33.23
27-09-2022,397.57,402.66,402.76,389.15,21.93
28-09-2022,397.87,393.68,405.35,391.64,18.11
29-09-2022,401.01,409.74,411.98,398.37,20.73
30-09-2022,403.36,396.78,406.99,391.29,20.95
03-10-2022,396.43,404.25,405.3,394.28,20.33
04-10-2022,406.64,404.75,407.69,401.66,12.76
06-10-2022,412.83,408.34,416.36,408.24,12.77
07-10-2022,410.88,412.13,412.73,407.44,10.67
10-10-2022,394.73,402.16,402.16,391.84,32.91
11-10-2022,392.14,395.78,398.27,390.1,14.64
12-10-2022,395.33,393.34,396.98,389.9,14.29
13-10-2022,397.77,395.33,402.26,393.34,12.58
14-10-2022,395.03,405.75,407.94,394.08,12.88
17-10-2022,394.88,392.79,397.67,391.29,9.54
18-10-2022,403.01,399.77,405.45,399.47,14.22
19-10-2022,397.82,404.95,405.7,396.08,8.65
20-10-2022,396.88,395.78,398.67,391.89,10.75
21-10-2022,396.83,395.78,401.01,393.49,10.28
24-10-2022,400.36,404.75,404.75,398.92,2.87
25-10-2022,403.31,403.11,409.24,401.96,17.98
27-10-2022,406.45,407.29,410.43,402.76,14.61
28-10-2022,408.64,406.74,409.93,404.85,12.49
31-10-2022,411.48,413.08,415.02,410.33,9.93
01-11-2022,420.05,413.62,421.1,411.53,17.32
02-11-2022,420.85,421.75,423.79,418.86,12.43
03-11-2022,414.97,418.11,422,413.23,10.99
04-11-2022,424.04,416.91,424.69,415.62,12.28
07-11-2022,433.66,426.93,436.15,426.93,15.06
09-11-2022,431.82,437.85,439.84,430.67,14.47
10-11-2022,410.93,419.21,419.26,407.94,26.25
11-11-2022,422.2,418.71,424.19,413.42,19.3
14-11-2022,432.37,422.7,436.35,422.2,18
15-11-2022,435.8,433.56,437.15,432.77,10.7
16-11-2022,430.22,435.61,436.85,428.28,8.21
17-11-2022,421.85,420.7,426.23,418.31,15.62
18-11-2022,422.5,422.7,425.14,419.86,9.85
21-11-2022,419.8,424.29,426.29,418.71,9.5
22-11-2022,423.39,419.7,425.09,419.21,6.41
23-11-2022,422.75,425.54,427.98,421.55,6.57
24-11-2022,422.1,423.19,423.94,419.41,6.77
25-11-2022,431.87,423.69,433.81,422.7,18.76
28-11-2022,431.92,433.66,438.99,431.07,10.7
29-11-2022,431.82,431.17,436.55,428.23,8.63
30-11-2022,438.05,433.66,439.64,431.97,14.73
01-12-2022,436.9,441.64,442.23,435.51,8.91
02-12-2022,434.06,437.65,439.79,433.66,8.35
05-12-2022,427.43,434.16,436.15,426.48,12.86
06-12-2022,425.79,427.48,430.02,424.04,8.46
07-12-2022,418.81,426.68,426.68,417.81,12.13
08-12-2022,415.92,419.7,420.1,414.07,9.54
09-12-2022,412.03,418.01,419.65,408.29,9.92
12-12-2022,412.88,410.73,415.62,406.74,8.01
13-12-2022,417.21,418.66,420.2,415.97,9.72
14-12-2022,416.61,419.26,420.05,416.07,6.31
15-12-2022,415.42,417.56,421.5,414.42,7.54
16-12-2022,420.3,416.07,426.48,411.83,50.95
19-12-2022,416.71,420.6,421.55,414.22,9.81
20-12-2022,409.24,416.71,416.71,406.74,12.34
21-12-2022,401.36,411.33,413.13,399.77,11.61
22-12-2022,393.24,402.86,403.45,389,14.91
23-12-2022,377.19,388.8,388.8,375.84,19.9
26-12-2022,383.62,379.08,389.5,374.05,16.98
27-12-2022,392.94,388.8,396.23,387.3,14.37
28-12-2022,390.1,392.79,394.68,389.2,8.44
29-12-2022,384.71,387.8,388.8,381.87,15.63
30-12-2022,386.76,389.8,390.99,385.81,9.2
02-01-2023,393.59,391.29,394.78,389.8,10.5
03-01-2023,392.69,394.78,397.13,391.79,9.43
04-01-2023,384.41,393.59,393.59,383.82,16.12
05-01-2023,385.71,386.71,387.55,381.32,10.44
06-01-2023,380.83,384.91,387.2,379.83,8.72
09-01-2023,388.25,385.16,391.49,383.82,14.69
10-01-2023,411.63,398.77,416.46,398.77,54.02
11-01-2023,416.91,414.47,418.71,412.28,22.22
12-01-2023,410.98,419.01,419.21,408.79,12.48
13-01-2023,410.23,411.73,415.07,406.74,10.45
16-01-2023,411.73,412.23,413.62,406.35,11.46
17-01-2023,414.02,411.73,418.16,411.23,12.34
18-01-2023,407.14,414.62,414.67,406.2,13.31
19-01-2023,399.52,405.25,406.55,398.87,13.13
20-01-2023,401.91,402.76,411.23,399.97,23.91
23-01-2023,407.14,405.75,409.69,403.75,13.11
24-01-2023,420.85,408.74,422.7,408.74,30.2
25-01-2023,417.76,422.45,425.94,416.42,22.98
27-01-2023,444.23,436.65,452.01,433.81,63.36
30-01-2023,442.29,444.23,448.62,436.3,18.32
31-01-2023,450.71,442.33,453.4,439.54,25.15
01-02-2023,445.28,455.39,460.08,436.3,23.8
02-02-2023,443.43,445.38,447.82,439.34,11.34
03-02-2023,444.08,445.63,449.41,440.99,13.07
06-02-2023,440.64,443.08,445.63,438.2,6.8
07-02-2023,434.11,440.34,442.04,431.57,9.02
08-02-2023,438.75,434.11,439.64,430.22,8.67
09-02-2023,435.41,438.65,439.34,432.22,7.35
10-02-2023,444.48,436.6,446.42,429.87,14.8
13-02-2023,439.69,444.13,445.52,437.55,8.33
14-02-2023,439.2,440.64,442.93,433.06,8.57
15-02-2023,442.78,437.15,443.53,436.8,9.86
16-02-2023,440.24,443.63,446.87,439.14,7.67
17-02-2023,438.55,434.66,441.09,434.66,6.96
20-02-2023,441.64,440.44,443.93,434.91,9.72
21-02-2023,435.16,443.83,443.83,433.91,8.96
22-02-2023,428.13,433.96,434.51,426.93,7.21
23-02-2023,431.87,427.33,435.11,425.89,9.28
24-02-2023,426.43,434.06,435.36,425.69,7.9
27-02-2023,416.66,426.43,426.73,411.78,10.44
28-02-2023,419.41,417.71,423.49,417.71,9.65
01-03-2023,424.69,420.2,426.68,420.2,7.6
02-03-2023,419.16,424.69,424.94,418.26,5.66
03-03-2023,426.68,421.3,429.18,420.65,8.03
06-03-2023,438.75,429.62,440.09,428.68,11.31
08-03-2023,437.95,437.65,439.89,434.76,7.85
09-03-2023,430.87,437.75,440.69,429.97,5.7
10-03-2023,434.51,431.67,436.45,429.48,10.42
13-03-2023,421.1,434.76,435.66,417.81,8.78
14-03-2023,415.37,421.55,422.89,412.13,9.19
15-03-2023,410.08,420.7,423.69,408.84,7.68
16-03-2023,414.42,412.03,417.21,403.75,11.85
17-03-2023,417.71,417.71,422.15,413.27,8.66
20-03-2023,409.49,414.32,415.67,404.25,10.08
21-03-2023,411.28,411.58,412.63,406.45,7.39
22-03-2023,414.82,414.72,417.11,412.48,5.73
23-03-2023,417.86,414.72,421.2,414.72,9.82
24-03-2023,415.22,417.71,419.26,413.52,6.88
27-03-2023,410.78,414.72,417.21,408.99,7.43
28-03-2023,400.36,412.88,413.23,399.22,9.55
29-03-2023,407.94,400.36,409.34,400.36,10.48
31-03-2023,419.51,410.08,420.45,409.74,11.04
03-04-2023,422.95,421.7,423.64,418.21,6.95
05-04-2023,425.24,422.95,427.43,421.85,8.82
06-04-2023,436.3,425.19,437.95,422.45,10.91
10-04-2023,459.88,450.66,471.84,450.61,50.46
